,Model,RMSE,MAPE,Weeks ahead,Location
137,CEID-Walk,43.990900098770425,41.37014147987402,3,OK
138,CEID-Walk,1.6235556658150037,107.75972222222224,3,OR
139,CEID-Walk,33.23772280356563,34.81119703854916,3,PA
140,CEID-Walk,1.2527348083293606,71966617.87916668,3,RI
141,CEID-Walk,8.825270194164029,36.34030668794907,3,SC
142,CEID-Walk,10.085276909105337,42.273540079774605,3,SD
143,CEID-Walk,7.918996411583142,24.633797743446618,3,TN
144,CEID-Walk,207.5677086434689,58.43284255308851,3,TX
145,CEID-Walk,659.0309014979242,27.121535924225448,3,US
146,CEID-Walk,5.575605213786213,39.83994708994709,3,UT
147,CEID-Walk,5.731770087270888,15.756111009827785,3,VA
148,CEID-Walk,0.46950754342537815,7888959.533333333,3,VT
149,CEID-Walk,5.1020486408239325,43.02185846560847,3,WA
150,CEID-Walk,18.221951962765498,30.310145203060557,3,WI
151,CEID-Walk,12.43775438600822,56.338595679012336,3,WV
152,CEID-Walk,3.7773047489799745,88.8200925925926,3,WY
153,CEID-Walk,6.44344314788297,287904043.956,4,AK
154,CEID-Walk,16.58241252049894,44.390096428571425,4,AL
155,CEID-Walk,26.466392825619437,41.07693349753695,4,AR
156,CEID-Walk,33.27029014300897,41.027548954966605,4,AZ
157,CEID-Walk,27.486972368742254,65.25820730837789,4,CA
158,CEID-Walk,15.357269028053132,49.68645134857345,4,CO
159,CEID-Walk,4.465930854816272,53528072.98361905,4,CT
160,CEID-Walk,1.8973665961010275,100.0,4,DC
161,CEID-Walk,2.704817627863291,127.28609523809524,4,DE
162,CEID-Walk,25.48966816574904,24.082913877863877,4,FL
163,CEID-Walk,17.119472410094886,26.94658535411019,4,GA
164,CEID-Walk,43.38789692529473,76.77445145460085,4,IA
165,CEID-Walk,7.1125773387710876,69.68599999999999,4,ID
166,CEID-Walk,22.379670926981927,69.6047205887206,4,IL
167,CEID-Walk,43.326002268845436,42.892145607866816,4,IN
168,CEID-Walk,21.205262790166028,43.25680824561403,4,KS
169,CEID-Walk,13.721195909978109,45.09732893772894,4,KY
170,CEID-Walk,25.028913436264066,68.75095285109157,4,LA
171,CEID-Walk,11.17922036637618,48.58518614855457,4,MA
172,CEID-Walk,9.152941538106752,43.79583025210084,4,MD
173,CEID-Walk,3.2290735513456483,56.07809523809525,4,ME
174,CEID-Walk,45.06880844885961,58.68586766356716,4,MI
175,CEID-Walk,20.84117777382075,51.15411994796375,4,MN
176,CEID-Walk,29.900962673465884,33.79744989747095,4,MO
177,CEID-Walk,15.313084274567288,37.68375229189817,4,MS
178,CEID-Walk,5.991464428668503,33.511408418482105,4,MT
179,CEID-Walk,48.37425977934959,74.00923015873016,4,NC
180,CEID-Walk,16.330710302984375,350180285.198,4,ND
181,CEID-Walk,18.4012605057371,37.13549055180941,4,NE
182,CEID-Walk,5.128080615590983,77.27617061370003,4,NH
183,CEID-Walk,12.677673800820086,27.326184303135893,4,NJ
184,CEID-Walk,5.469944241032079,82.27295238095238,4,NM
185,CEID-Walk,12.3925025156342,68.09588624338625,4,NV
186,CEID-Walk,32.742247803106004,67.32327726833424,4,NY
187,CEID-Walk,31.819897187137485,38.28913780411346,4,OH
188,CEID-Walk,55.91430529837602,50.443457555569836,4,OK
189,CEID-Walk,2.9535231165508082,56.21133333333332,4,OR
190,CEID-Walk,40.807215335036034,42.94447093839702,4,PA
191,CEID-Walk,1.4408878512916956,70187962.834,4,RI
192,CEID-Walk,9.22439141623988,33.43151698812248,4,SC
193,CEID-Walk,12.137308457808922,39.66283272150965,4,SD
194,CEID-Walk,13.121451619390287,25.347475812204422,4,TN
195,CEID-Walk,251.44284437780286,69.54426268201927,4,TX
196,CEID-Walk,797.7968414892352,33.83065939712513,4,US
197,CEID-Walk,5.43351565747261,41.62266666666667,4,UT
198,CEID-Walk,3.786708253879616,14.477491593065658,4,VA
199,CEID-Walk,0.505307035375523,8416065.896,4,VT
200,CEID-Walk,7.142235252356226,43.835952380952385,4,WA
201,CEID-Walk,18.47525409838793,29.45061582284254,4,WI
202,CEID-Walk,15.15469264617399,63.19133507625273,4,WV
203,CEID-Walk,4.198149282719708,74.34973333333333,4,WY
204,CMU-TimeSeries,4.135659760377209,126842196.43270916,1,AK
205,CMU-TimeSeries,12.472631741707922,44.62272475876819,1,AL
206,CMU-TimeSeries,11.205365008568682,55.41068562307016,1,AR
207,CMU-TimeSeries,32.90257409265136,62.42084406172835,1,AZ
208,CMU-TimeSeries,15.3025070808239,62.102618761361974,1,CA
209,CMU-TimeSeries,13.168489943508535,58.93037521168017,1,CO
210,CMU-TimeSeries,6.0409628662231,65298650.60789411,1,CT
211,CMU-TimeSeries,1.5816038843131033,27295015.4389245,1,DC
212,CMU-TimeSeries,2.650713802970502,38290503.180238456,1,DE
213,CMU-TimeSeries,33.835390561508,24.283209967519714,1,FL
214,CMU-TimeSeries,17.761222732885532,32.4908300695905,1,GA
