,Model,Weeks ahead,Location,LS,CRPS,CS
180,CEID-Walk,4,ND,-6.573317611815469,9.241105952509148,2.2799999999999994
181,CEID-Walk,4,NE,-7.9185087677269,11.502533097204404,2.2799999999999994
182,CEID-Walk,4,NH,-5.352214600699826,2.9981771616570305,2.2799999999999994
183,CEID-Walk,4,NJ,-7.0570657236299725,8.06033771253646,2.2799999999999994
184,CEID-Walk,4,NM,-3.9719316883911517,4.303851222453244,2.2799999999999994
185,CEID-Walk,4,NV,-5.519622203213151,7.431153180244638,2.2799999999999994
186,CEID-Walk,4,NY,-6.671906653588164,21.182739715492573,2.2799999999999994
187,CEID-Walk,4,OH,-7.5946381864516415,18.702341377008615,2.2799999999999994
188,CEID-Walk,4,OK,-7.633121046936452,33.23639897654213,2.2799999999999994
189,CEID-Walk,4,OR,-4.859780849520179,1.8993161399340146,2.2799999999999994
190,CEID-Walk,4,PA,-7.63942450500477,24.205027522113333,2.2799999999999994
191,CEID-Walk,4,RI,-4.021569865542008,0.8388979441481018,2.2799999999999994
192,CEID-Walk,4,SC,-6.47639370534597,6.127834148030774,2.2799999999999994
193,CEID-Walk,4,SD,-6.7190359732025104,7.0580438266273315,2.2799999999999994
194,CEID-Walk,4,TN,-7.0901211990864486,9.81190298884619,2.2799999999999994
195,CEID-Walk,4,TX,-9.050396130684012,211.79398595564106,2.2799999999999994
196,CEID-Walk,4,US,-10.0,487.8916768044907,2.2799999999999994
197,CEID-Walk,4,UT,-5.210042714379263,3.319761333148862,2.2799999999999994
198,CEID-Walk,4,VA,-10.0,3.429734141725652,2.2799999999999994
199,CEID-Walk,4,VT,-3.1230711949922503,0.29636379488452846,2.2799999999999994
200,CEID-Walk,4,WA,-5.719951370924399,4.593471270441489,2.2799999999999994
201,CEID-Walk,4,WI,-7.025022565915817,11.643131020914048,2.2799999999999994
202,CEID-Walk,4,WV,-5.827155560498738,9.410033140769105,2.2799999999999994
203,CEID-Walk,4,WY,-5.296684279362812,2.6309455271857853,2.2799999999999994
204,CMU-TimeSeries,1,AK,-8.163883674283344,2.3849818097535462,4.103999999999998
205,CMU-TimeSeries,1,AL,-8.814741933251195,7.547224445180969,4.103999999999998
206,CMU-TimeSeries,1,AR,-10.0,6.739390846043941,4.103999999999998
207,CMU-TimeSeries,1,AZ,-10.0,17.0541186262023,4.103999999999998
208,CMU-TimeSeries,1,CA,-7.6669273406677485,10.046863845788485,4.103999999999998
209,CMU-TimeSeries,1,CO,-8.576370618905123,7.546088617163941,4.103999999999998
210,CMU-TimeSeries,1,CT,-5.9742849805732385,3.2323049143474027,4.103999999999998
211,CMU-TimeSeries,1,DC,,,4.1419999999999995
212,CMU-TimeSeries,1,DE,-5.73695416338069,1.6227587026729224,4.103999999999998
213,CMU-TimeSeries,1,FL,-10.0,18.365915388855584,4.103999999999998
214,CMU-TimeSeries,1,GA,,,4.141999999999999
215,CMU-TimeSeries,1,IA,-10.0,8.656775467327357,4.103999999999998
216,CMU-TimeSeries,1,ID,-4.9420339072891215,1.978581407532201,4.103999999999998
217,CMU-TimeSeries,1,IL,-7.90821830809788,9.616766696831013,4.103999999999998
218,CMU-TimeSeries,1,IN,-10.0,15.713572795050656,4.103999999999998
219,CMU-TimeSeries,1,KS,-10.0,8.646683716200467,4.103999999999998
220,CMU-TimeSeries,1,KY,-9.002698147643915,6.241757863481739,4.103999999999998
221,CMU-TimeSeries,1,LA,-9.250811574121604,7.153186231339747,4.103999999999998
222,CMU-TimeSeries,1,MA,-10.0,8.778733065843873,4.103999999999998
223,CMU-TimeSeries,1,MD,-7.963939129710558,3.2832417268401723,4.103999999999998
224,CMU-TimeSeries,1,ME,,,4.1419999999999995
225,CMU-TimeSeries,1,MI,-10.0,8.156067548257882,4.103999999999998
226,CMU-TimeSeries,1,MN,-9.787586489349167,8.624179340964634,4.103999999999998
227,CMU-TimeSeries,1,MO,-10.0,10.071081022648151,4.103999999999998
228,CMU-TimeSeries,1,MS,-10.0,4.954828442447802,4.103999999999998
229,CMU-TimeSeries,1,MT,-10.0,3.345345082406899,4.103999999999998
230,CMU-TimeSeries,1,NC,-10.0,16.665053022331094,4.103999999999998
231,CMU-TimeSeries,1,ND,-9.539727325990057,3.196391065373903,4.103999999999998
232,CMU-TimeSeries,1,NE,-10.0,8.045320112400937,4.103999999999998
233,CMU-TimeSeries,1,NH,-7.794705849213145,4.566338746769931,4.103999999999998
234,CMU-TimeSeries,1,NJ,-9.305000615765278,4.767022416572205,4.103999999999998
235,CMU-TimeSeries,1,NM,-6.0504385539075995,2.1009069071218907,4.103999999999998
236,CMU-TimeSeries,1,NV,-6.9836059985316705,4.548401523569819,4.103999999999998
237,CMU-TimeSeries,1,NY,-7.712210564621701,8.610658717657007,4.103999999999998
238,CMU-TimeSeries,1,OH,-9.809687375143968,11.917493610709856,4.103999999999998
